account_id,company_name,sector,industry,province,country,employee_count,annual_budget_multiplier,price_sensitivity,service_attachment,source,account_tier,website
ACC00018,Patagonia Solutions S.R.L.,Oil & Gas,Oil & Gas,CABA,Argentina,320,1.37,0.138,0.75,partner_referral,C,https://delta-operaciones-s-a.com.ar
ACC00019,Norte Operaciones Argentina,Servicios,Services,Córdoba,Argentina,242,0.85,0.26,0.45,website_form,B,https://austral-industrial-argentina.com.ar
ACC00020,Litoral Oil Servicios,Minería,Mining,Catamarca,Argentina,2492,1.12,0.151,0.72,outbound_research,A,https://patagonia-solutions-corp.com.ar
ACC00021,Cumbre Tecnología S.A.,Oil & Gas,Oil & Gas,CABA,Argentina,2216,1.34,0.205,0.75,public_directory,B,https://norte-solutions-argentina.com.ar
ACC00022,Aconcagua Servicios Argentina,Construcción,Construction,CABA,Argentina,291,1.04,0.384,0.52,website_form,A,https://cumbre-tecnología-s-a.com.ar
ACC00023,Norte Servicios Group,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,4344,1.55,0.167,0.75,outbound_research,B,https://austral-infraestructura-servicios.com.ar
ACC00024,Austral Infraestructura Argentina,Servicios,Services,CABA,Argentina,351,1.08,0.216,0.45,website_form,C,https://austral-servicios-group.com.ar
ACC00025,Pampa Infraestructura Servicios,Minería,Mining,Jujuy,Argentina,1504,1.19,0.207,0.72,website_form,A,https://aconcagua-infraestructura-s-a.com.ar
ACC00026,Delta Minera Servicios,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,2345,1.4,0.12,0.75,outbound_research,B,https://sur-tecnología-servicios.com.ar
ACC00027,Norte Logística S.A.,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,542,1.24,0.145,0.75,website_form,B,https://austral-operaciones-servicios.com.ar
ACC00028,Delta Operaciones S.A.,Construcción,Construction,CABA,Argentina,186,1.12,0.253,0.52,partner_referral,C,https://pampa-infraestructura-s-r-l.com.ar
ACC00029,Andes Minera S.R.L.,Construcción,Construction,Buenos Aires,Argentina,411,1.14,0.281,0.52,industry_event,C,https://pampa-solutions-s-a.com.ar
ACC00030,Norte Energía Group,Construcción,Construction,Mendoza,Argentina,356,1.09,0.268,0.52,public_directory,B,https://andes-energía-group.com.ar
ACC00031,Patagonia Tecnología Corp.,Oil & Gas,Oil & Gas,Chubut,Argentina,513,1.48,0.156,0.75,public_directory,C,https://patagonia-operaciones-servicios.com.ar
ACC00032,Andes Oil Servicios,Oil & Gas,Oil & Gas,Neuquén,Argentina,3772,1.31,0.113,0.75,industry_event,B,https://patagonia-infraestructura-servicios.com.ar
ACC00033,Aconcagua Infraestructura Servicios,Minería,Mining,San Juan,Argentina,1436,1.17,0.173,0.72,partner_referral,B,https://delta-tecnología-servicios.com.ar
ACC00034,Norte Infraestructura S.R.L.,Minería,Mining,Santa Cruz,Argentina,101,1.38,0.165,0.72,industry_event,B,https://litoral-solutions-servicios.com.ar
ACC00035,Norte Oil Argentina,Energía,Utilities,Córdoba,Argentina,427,1.03,0.291,0.68,outbound_research,B,https://pampa-solutions-s-r-l.com.ar
ACC00036,Cumbre Energía Corp.,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,4092,1.55,0.204,0.75,partner_referral,B,https://pampa-servicios-argentina.com.ar
ACC00037,Pampa Servicios Argentina,Construcción,Construction,Buenos Aires,Argentina,455,0.92,0.235,0.52,website_form,B,https://litoral-oil-servicios.com.ar
ACC00038,Aconcagua Oil Corp.,Energía,Energy,Mendoza,Argentina,2147,1.26,0.205,0.68,industry_event,C,https://norte-oil-corp.com.ar
ACC00039,Patagonia Infraestructura S.R.L.,Construcción,Construction,Córdoba,Argentina,470,1.0,0.376,0.52,website_form,A,https://pampa-operaciones-argentina.com.ar
ACC00040,Aconcagua Operaciones Group,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,726,1.34,0.137,0.75,partner_referral,B,https://cumbre-industrial-servicios.com.ar
ACC00041,Norte Operaciones Corp.,Minería,Mining,Catamarca,Argentina,1540,1.27,0.118,0.72,partner_referral,A,https://sur-operaciones-argentina.com.ar
ACC00042,Cumbre Oil S.A.,Oil & Gas,Oil & Gas,Buenos Aires,Argentina,1245,1.42,0.219,0.75,website_form,B,https://delta-minera-s-r-l.com.ar
ACC00043,Pampa Minera Group,Oil & Gas,Oil & Gas,Buenos Aires,Argentina,2881,1.49,0.168,0.75,partner_referral,B,https://patagonia-minera-s-a.com.ar
ACC00044,Pampa Energía Argentina,Construcción,Construction,Buenos Aires,Argentina,378,1.13,0.389,0.52,outbound_research,C,https://cumbre-servicios-s-r-l.com.ar
ACC00045,Pampa Minera Argentina,Oil & Gas,Oil & Gas,Neuquén,Argentina,4820,1.5,0.13,0.75,public_directory,C,https://patagonia-servicios-group.com.ar
ACC00046,Cumbre Operaciones Corp.,Oil & Gas,Oil & Gas,Neuquén,Argentina,2755,1.18,0.224,0.75,outbound_research,A,https://norte-tecnología-s-a.com.ar
ACC00047,Sur Oil Corp.,Construcción,Construction,Santa Fe,Argentina,62,0.92,0.322,0.52,website_form,C,https://litoral-energía-corp.com.ar
ACC00048,Delta Operaciones S.R.L.,Servicios,Services,Santa Fe,Argentina,372,0.98,0.428,0.45,partner_referral,B,https://cumbre-infraestructura-group.com.ar
ACC00049,Litoral Solutions Corp.,Manufactura,Manufacturing,Buenos Aires,Argentina,621,1.06,0.239,0.61,industry_event,A,https://pampa-logística-group.com.ar
ACC00050,Norte Oil S.A.,Minería,Mining,Santa Cruz,Argentina,2972,1.13,0.181,0.72,partner_referral,B,https://pampa-minera-argentina.com.ar
ACC00051,Patagonia Infraestructura S.R.L.,Construcción,Construction,Mendoza,Argentina,37,1.11,0.247,0.52,public_directory,B,https://austral-oil-group.com.ar
ACC00052,Sur Minera Group,Energía,Utilities,Neuquén,Argentina,1434,1.09,0.142,0.68,outbound_research,B,https://austral-servicios-s-r-l.com.ar
ACC00053,Cumbre Oil Servicios,Oil & Gas,Oil & Gas,Buenos Aires,Argentina,2465,1.59,0.25,0.75,industry_event,B,https://delta-infraestructura-s-a.com.ar
ACC00054,Andes Industrial Servicios,Construcción,Construction,CABA,Argentina,300,1.11,0.208,0.52,partner_referral,A,https://andes-tecnología-group.com.ar
ACC00055,Delta Industrial Group,Energía,Utilities,Mendoza,Argentina,1475,1.04,0.132,0.68,partner_referral,A,https://andes-servicios-s-r-l.com.ar
ACC00056,Pampa Energía Servicios,Construcción,Construction,Córdoba,Argentina,107,1.08,0.354,0.52,outbound_research,C,https://aconcagua-minera-corp.com.ar
ACC00057,Norte Tecnología Servicios,Minería,Mining,Santa Cruz,Argentina,1856,1.31,0.184,0.72,outbound_research,B,https://norte-energía-s-r-l.com.ar
ACC00058,Delta Industrial Corp.,Oil & Gas,Oil & Gas,CABA,Argentina,814,1.46,0.185,0.75,website_form,B,https://norte-minera-s-a.com.ar
ACC00059,Cumbre Solutions Corp.,Construcción,Construction,Córdoba,Argentina,660,1.06,0.322,0.52,industry_event,C,https://patagonia-industrial-s-r-l.com.ar
ACC00060,Cumbre Infraestructura Corp.,Construcción,Construction,Santa Fe,Argentina,786,1.04,0.247,0.52,partner_referral,C,https://austral-oil-corp.com.ar
ACC00061,Aconcagua Logística Servicios,Energía,Utilities,Neuquén,Argentina,243,1.01,0.161,0.68,public_directory,B,https://andes-infraestructura-servicios.com.ar
ACC00062,Austral Minera Group,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,4054,1.6,0.178,0.75,partner_referral,C,https://litoral-logística-corp.com.ar
ACC00063,Delta Logística Corp.,Minería,Mining,Río Negro,Argentina,528,1.2,0.212,0.72,public_directory,A,https://patagonia-logística-group.com.ar
ACC00064,Andes Oil Corp.,Minería,Mining,San Juan,Argentina,2207,1.12,0.153,0.72,public_directory,C,https://litoral-industrial-s-r-l.com.ar
ACC00065,Litoral Minera S.A.,Minería,Mining,Jujuy,Argentina,1279,1.44,0.165,0.72,outbound_research,C,https://norte-oil-s-a.com.ar
ACC00066,Patagonia Minera S.A.,Energía,Energy,Buenos Aires,Argentina,1000,1.17,0.249,0.68,public_directory,C,https://aconcagua-minera-corp.com.ar
ACC00067,Aconcagua Solutions Servicios,Minería,Mining,Santa Cruz,Argentina,692,1.4,0.119,0.72,partner_referral,B,https://austral-infraestructura-s-a.com.ar
ACC00068,Cumbre Minera S.R.L.,Minería,Mining,Salta,Argentina,2504,1.29,0.128,0.72,public_directory,C,https://aconcagua-minera-group.com.ar
ACC00069,Aconcagua Solutions Corp.,Manufactura,Manufacturing,Santa Fe,Argentina,1221,1.05,0.235,0.61,partner_referral,B,https://delta-minera-s-a.com.ar
ACC00070,Patagonia Minera S.A.,Oil & Gas,Oil & Gas,CABA,Argentina,2919,1.16,0.126,0.75,outbound_research,A,https://norte-logística-servicios.com.ar
ACC00071,Austral Operaciones Group,Construcción,Construction,Buenos Aires,Argentina,356,1.16,0.188,0.52,website_form,B,https://norte-solutions-argentina.com.ar
ACC00072,Litoral Servicios Argentina,Oil & Gas,Oil & Gas,Neuquén,Argentina,1023,1.56,0.108,0.75,website_form,B,https://sur-operaciones-s-r-l.com.ar
ACC00073,Delta Servicios S.R.L.,Minería,Mining,San Juan,Argentina,2418,1.31,0.134,0.72,outbound_research,B,https://cumbre-servicios-s-r-l.com.ar
ACC00074,Norte Industrial Corp.,Energía,Utilities,Santa Fe,Argentina,1962,1.24,0.148,0.68,partner_referral,C,https://cumbre-infraestructura-argentina.com.ar
ACC00075,Norte Solutions Corp.,Servicios,Services,Córdoba,Argentina,243,0.83,0.283,0.45,industry_event,B,https://norte-industrial-argentina.com.ar
ACC00076,Andes Tecnología Argentina,Minería,Mining,Catamarca,Argentina,2418,1.39,0.206,0.72,outbound_research,B,https://sur-solutions-argentina.com.ar
ACC00077,Patagonia Industrial Group,Oil & Gas,Oil & Gas,Chubut,Argentina,1320,1.17,0.166,0.75,outbound_research,A,https://norte-logística-argentina.com.ar
ACC00078,Austral Logística Servicios,Minería,Mining,Jujuy,Argentina,641,1.39,0.116,0.72,partner_referral,C,https://norte-logística-s-a.com.ar
ACC00079,Pampa Operaciones Servicios,Energía,Utilities,Buenos Aires,Argentina,656,1.03,0.191,0.68,industry_event,B,https://litoral-logística-argentina.com.ar
ACC00080,Aconcagua Logística S.A.,Construcción,Construction,Córdoba,Argentina,618,1.04,0.316,0.52,public_directory,B,https://cumbre-solutions-argentina.com.ar
ACC00081,Aconcagua Energía S.R.L.,Oil & Gas,Oil & Gas,Buenos Aires,Argentina,2675,1.58,0.155,0.75,partner_referral,A,https://pampa-oil-s-r-l.com.ar
ACC00082,Austral Operaciones Servicios,Minería,Mining,Salta,Argentina,2846,1.41,0.172,0.72,partner_referral,B,https://norte-industrial-argentina.com.ar
ACC00083,Pampa Logística S.A.,Minería,Mining,San Juan,Argentina,1921,1.29,0.217,0.72,industry_event,A,https://norte-solutions-s-a.com.ar
ACC00084,Pampa Tecnología S.A.,Servicios,Services,Santa Fe,Argentina,56,1.04,0.246,0.45,outbound_research,C,https://pampa-energía-servicios.com.ar
ACC00085,Sur Servicios Servicios,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,2108,1.27,0.277,0.75,outbound_research,B,https://delta-energía-argentina.com.ar
ACC00086,Sur Solutions Servicios,Manufactura,Manufacturing,Santa Fe,Argentina,80,0.96,0.193,0.61,outbound_research,C,https://austral-energía-argentina.com.ar
ACC00087,Austral Tecnología S.A.,Oil & Gas,Oil & Gas,Buenos Aires,Argentina,3165,1.38,0.27,0.75,website_form,C,https://austral-infraestructura-corp.com.ar
ACC00088,Litoral Operaciones Corp.,Construcción,Construction,Buenos Aires,Argentina,82,1.05,0.38,0.52,website_form,C,https://sur-tecnología-s-r-l.com.ar
ACC00089,Austral Logística Corp.,Oil & Gas,Oil & Gas,Chubut,Argentina,4995,1.35,0.209,0.75,website_form,C,https://patagonia-oil-argentina.com.ar
ACC00090,Pampa Operaciones Group,Manufactura,Manufacturing,Mendoza,Argentina,974,1.08,0.286,0.61,industry_event,B,https://norte-logística-s-r-l.com.ar
ACC00091,Patagonia Energía S.A.,Construcción,Construction,Mendoza,Argentina,88,0.93,0.343,0.52,outbound_research,B,https://cumbre-oil-servicios.com.ar
ACC00092,Sur Operaciones Argentina,Minería,Mining,Catamarca,Argentina,1782,1.44,0.164,0.72,industry_event,A,https://austral-solutions-s-r-l.com.ar
ACC00093,Sur Oil Group,Construcción,Construction,CABA,Argentina,130,1.13,0.306,0.52,partner_referral,C,https://cumbre-tecnología-argentina.com.ar
ACC00094,Norte Industrial S.R.L.,Construcción,Construction,Buenos Aires,Argentina,643,1.11,0.248,0.52,industry_event,B,https://delta-servicios-servicios.com.ar
ACC00095,Andes Energía Argentina,Construcción,Construction,Buenos Aires,Argentina,165,1.01,0.28,0.52,outbound_research,B,https://sur-tecnología-servicios.com.ar
ACC00096,Delta Tecnología S.A.,Oil & Gas,Oil & Gas,Neuquén,Argentina,1474,1.27,0.219,0.75,partner_referral,B,https://aconcagua-infraestructura-s-r-l.com.ar
ACC00097,Aconcagua Energía Group,Construcción,Construction,Buenos Aires,Argentina,373,1.06,0.248,0.52,outbound_research,B,https://cumbre-industrial-s-a.com.ar
ACC00098,Norte Infraestructura Group,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,1324,1.15,0.234,0.75,outbound_research,A,https://austral-solutions-servicios.com.ar
ACC00099,Aconcagua Industrial Corp.,Energía,Energy,Santa Fe,Argentina,375,1.16,0.134,0.68,industry_event,B,https://cumbre-operaciones-argentina.com.ar
ACC00100,Aconcagua Industrial Group,Construcción,Construction,Córdoba,Argentina,137,1.14,0.316,0.52,industry_event,A,https://patagonia-solutions-corp.com.ar
ACC00101,Aconcagua Infraestructura Argentina,Energía,Utilities,Neuquén,Argentina,402,1.08,0.26,0.68,website_form,B,https://patagonia-oil-servicios.com.ar
ACC00102,Delta Solutions S.A.,Oil & Gas,Oil & Gas,Chubut,Argentina,3076,1.27,0.131,0.75,outbound_research,C,https://patagonia-servicios-argentina.com.ar
ACC00103,Litoral Tecnología Argentina,Energía,Utilities,Neuquén,Argentina,2453,1.3,0.233,0.68,outbound_research,B,https://litoral-minera-argentina.com.ar
ACC00104,Andes Logística Servicios,Minería,Mining,Salta,Argentina,2522,1.21,0.143,0.72,website_form,B,https://norte-energía-argentina.com.ar
ACC00105,Cumbre Oil Corp.,Manufactura,Manufacturing,Buenos Aires,Argentina,1309,1.14,0.331,0.61,website_form,B,https://cumbre-solutions-group.com.ar
ACC00106,Andes Minera S.A.,Construcción,Construction,Santa Fe,Argentina,174,1.19,0.199,0.52,outbound_research,A,https://litoral-minera-servicios.com.ar
ACC00107,Sur Infraestructura Corp.,Energía,Utilities,Córdoba,Argentina,1570,1.27,0.242,0.68,website_form,C,https://sur-energía-group.com.ar
ACC00108,Norte Tecnología S.R.L.,Oil & Gas,Oil & Gas,Buenos Aires,Argentina,2527,1.19,0.219,0.75,industry_event,B,https://aconcagua-servicios-servicios.com.ar
ACC00109,Austral Operaciones Argentina,Construcción,Construction,Buenos Aires,Argentina,337,1.14,0.327,0.52,public_directory,A,https://aconcagua-oil-group.com.ar
ACC00110,Pampa Logística Corp.,Oil & Gas,Oil & Gas,Chubut,Argentina,1676,1.25,0.125,0.75,website_form,B,https://patagonia-oil-servicios.com.ar
ACC00111,Sur Tecnología S.R.L.,Manufactura,Manufacturing,Buenos Aires,Argentina,1405,1.0,0.176,0.61,public_directory,C,https://delta-minera-s-a.com.ar
ACC00112,Litoral Tecnología Group,Minería,Mining,Río Negro,Argentina,1072,1.18,0.113,0.72,partner_referral,C,https://pampa-logística-argentina.com.ar
ACC00113,Norte Operaciones Servicios,Servicios,Services,Santa Fe,Argentina,246,1.09,0.401,0.45,public_directory,A,https://norte-industrial-argentina.com.ar
ACC00114,Patagonia Oil S.A.,Energía,Utilities,Santa Fe,Argentina,2351,1.03,0.149,0.68,partner_referral,C,https://delta-operaciones-s-a.com.ar
ACC00115,Sur Industrial Corp.,Servicios,Services,Buenos Aires,Argentina,240,0.92,0.281,0.45,partner_referral,C,https://sur-solutions-s-a.com.ar
ACC00116,Sur Servicios S.R.L.,Minería,Mining,Catamarca,Argentina,2762,1.2,0.196,0.72,outbound_research,C,https://litoral-minera-servicios.com.ar
ACC00117,Norte Solutions S.R.L.,Oil & Gas,Oil & Gas,Neuquén,Argentina,355,1.2,0.152,0.75,industry_event,A,https://pampa-operaciones-argentina.com.ar
ACC00118,Patagonia Minera Servicios,Construcción,Construction,Mendoza,Argentina,84,1.09,0.307,0.52,outbound_research,B,https://andes-tecnología-group.com.ar
ACC00119,Patagonia Oil Group,Minería,Mining,San Juan,Argentina,867,1.43,0.156,0.72,public_directory,B,https://aconcagua-minera-s-a.com.ar
ACC00120,Andes Logística S.A.,Construcción,Construction,Córdoba,Argentina,279,0.97,0.325,0.52,website_form,C,https://sur-servicios-s-a.com.ar
ACC00121,Delta Minera Argentina,Minería,Mining,Salta,Argentina,2732,1.32,0.194,0.72,website_form,C,https://litoral-industrial-group.com.ar
ACC00122,Sur Infraestructura Servicios,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,543,1.6,0.198,0.75,industry_event,A,https://pampa-infraestructura-group.com.ar
ACC00123,Sur Infraestructura S.A.,Manufactura,Manufacturing,Buenos Aires,Argentina,1823,1.09,0.22,0.61,partner_referral,C,https://aconcagua-logística-s-r-l.com.ar
ACC00124,Austral Infraestructura S.A.,Energía,Utilities,Mendoza,Argentina,1584,1.03,0.228,0.68,outbound_research,B,https://sur-energía-s-a.com.ar
ACC00125,Litoral Tecnología Argentina,Minería,Mining,Salta,Argentina,1355,1.16,0.142,0.72,partner_referral,A,https://sur-tecnología-corp.com.ar
ACC00126,Aconcagua Logística Servicios,Minería,Mining,Catamarca,Argentina,407,1.43,0.1,0.72,public_directory,B,https://litoral-industrial-s-r-l.com.ar
ACC00127,Aconcagua Tecnología S.A.,Oil & Gas,Oil & Gas,Chubut,Argentina,3166,1.46,0.271,0.75,industry_event,B,https://patagonia-tecnología-s-r-l.com.ar
ACC00128,Norte Solutions S.A.,Energía,Energy,Mendoza,Argentina,1367,1.26,0.21,0.68,partner_referral,C,https://patagonia-infraestructura-group.com.ar
ACC00129,Norte Minera S.R.L.,Construcción,Construction,CABA,Argentina,646,0.94,0.196,0.52,outbound_research,C,https://litoral-energía-argentina.com.ar
ACC00130,Sur Energía Servicios,Servicios,Services,Córdoba,Argentina,351,1.07,0.41,0.45,outbound_research,C,https://austral-solutions-s-a.com.ar
ACC00131,Litoral Industrial Group,Servicios,Services,Buenos Aires,Argentina,131,0.94,0.445,0.45,outbound_research,B,https://patagonia-energía-group.com.ar
ACC00132,Austral Operaciones Corp.,Minería,Mining,Río Negro,Argentina,2060,1.14,0.124,0.72,website_form,B,https://austral-logística-s-r-l.com.ar
ACC00133,Delta Operaciones Servicios,Manufactura,Manufacturing,Santa Fe,Argentina,1622,1.22,0.244,0.61,industry_event,A,https://sur-solutions-group.com.ar
ACC00134,Norte Solutions Argentina,Servicios,Services,Córdoba,Argentina,50,0.84,0.262,0.45,public_directory,A,https://delta-tecnología-servicios.com.ar
ACC00135,Cumbre Industrial S.A.,Oil & Gas,Oil & Gas,CABA,Argentina,2965,1.17,0.215,0.75,public_directory,B,https://pampa-tecnología-corp.com.ar
ACC00136,Austral Infraestructura Argentina,Construcción,Construction,Buenos Aires,Argentina,529,1.04,0.357,0.52,partner_referral,B,https://patagonia-industrial-s-r-l.com.ar
ACC00137,Pampa Logística Servicios,Energía,Energy,Mendoza,Argentina,1982,1.11,0.249,0.68,industry_event,C,https://delta-logística-servicios.com.ar
ACC00138,Litoral Energía Group,Energía,Utilities,Santa Fe,Argentina,1070,1.09,0.137,0.68,industry_event,C,https://cumbre-operaciones-s-r-l.com.ar
ACC00139,Cumbre Logística S.R.L.,Servicios,Services,Buenos Aires,Argentina,177,0.95,0.319,0.45,partner_referral,C,https://litoral-industrial-s-a.com.ar
ACC00140,Pampa Tecnología Group,Servicios,Services,Santa Fe,Argentina,133,0.82,0.314,0.45,partner_referral,B,https://andes-energía-corp.com.ar
ACC00141,Aconcagua Logística S.A.,Oil & Gas,Oil & Gas,Chubut,Argentina,3196,1.17,0.201,0.75,industry_event,B,https://patagonia-operaciones-servicios.com.ar
ACC00142,Cumbre Tecnología S.A.,Energía,Energy,Neuquén,Argentina,1225,1.34,0.191,0.68,industry_event,B,https://sur-servicios-s-r-l.com.ar
ACC00143,Andes Industrial S.A.,Construcción,Construction,Mendoza,Argentina,532,1.11,0.357,0.52,public_directory,B,https://cumbre-oil-s-r-l.com.ar
ACC00144,Delta Operaciones Servicios,Minería,Mining,Santa Cruz,Argentina,1404,1.31,0.151,0.72,public_directory,B,https://cumbre-infraestructura-corp.com.ar
ACC00145,Patagonia Operaciones Servicios,Construcción,Construction,Córdoba,Argentina,359,1.14,0.34,0.52,website_form,B,https://norte-tecnología-servicios.com.ar
ACC00146,Litoral Servicios Servicios,Oil & Gas,Oil & Gas,Neuquén,Argentina,4980,1.22,0.223,0.75,website_form,B,https://patagonia-solutions-s-a.com.ar
ACC00147,Aconcagua Solutions Corp.,Energía,Utilities,Mendoza,Argentina,700,1.31,0.252,0.68,website_form,C,https://austral-solutions-servicios.com.ar
ACC00148,Austral Operaciones Group,Minería,Mining,Río Negro,Argentina,2059,1.26,0.155,0.72,public_directory,B,https://norte-tecnología-corp.com.ar
ACC00149,Austral Infraestructura S.R.L.,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,2485,1.5,0.227,0.75,partner_referral,B,https://sur-oil-argentina.com.ar
ACC00150,Austral Operaciones Corp.,Minería,Mining,Catamarca,Argentina,2448,1.43,0.193,0.72,industry_event,A,https://patagonia-logística-corp.com.ar
ACC00151,Pampa Oil Group,Construcción,Construction,Mendoza,Argentina,239,0.94,0.315,0.52,public_directory,B,https://andes-oil-s-r-l.com.ar
ACC00152,Aconcagua Logística Argentina,Construcción,Construction,Buenos Aires,Argentina,122,0.93,0.35,0.52,website_form,C,https://delta-operaciones-argentina.com.ar
ACC00153,Pampa Infraestructura Group,Servicios,Services,Santa Fe,Argentina,254,0.99,0.425,0.45,website_form,B,https://pampa-oil-argentina.com.ar
ACC00154,Aconcagua Servicios S.A.,Construcción,Construction,Buenos Aires,Argentina,199,1.14,0.221,0.52,industry_event,C,https://andes-infraestructura-servicios.com.ar
ACC00155,Litoral Oil Servicios,Construcción,Construction,Córdoba,Argentina,311,1.17,0.21,0.52,public_directory,B,https://pampa-energía-group.com.ar
ACC00156,Delta Industrial Argentina,Oil & Gas,Oil & Gas,Buenos Aires,Argentina,2307,1.51,0.202,0.75,outbound_research,A,https://aconcagua-operaciones-servicios.com.ar
ACC00157,Patagonia Servicios S.R.L.,Minería,Mining,San Juan,Argentina,2841,1.21,0.115,0.72,industry_event,B,https://litoral-infraestructura-group.com.ar
ACC00158,Andes Infraestructura Argentina,Minería,Mining,Río Negro,Argentina,2446,1.34,0.089,0.72,website_form,B,https://delta-operaciones-argentina.com.ar
ACC00159,Norte Logística Servicios,Energía,Energy,Santa Fe,Argentina,560,1.08,0.144,0.68,outbound_research,B,https://cumbre-logística-corp.com.ar
ACC00160,Austral Solutions S.R.L.,Construcción,Construction,Mendoza,Argentina,795,1.06,0.296,0.52,industry_event,A,https://cumbre-energía-s-a.com.ar
ACC00161,Austral Servicios S.R.L.,Manufactura,Manufacturing,Santa Fe,Argentina,1222,1.23,0.228,0.61,outbound_research,C,https://litoral-energía-servicios.com.ar
ACC00162,Delta Oil Corp.,Energía,Utilities,Buenos Aires,Argentina,1937,1.2,0.221,0.68,industry_event,C,https://aconcagua-infraestructura-s-a.com.ar
ACC00163,Andes Operaciones Group,Construcción,Construction,Santa Fe,Argentina,94,1.06,0.193,0.52,website_form,C,https://litoral-industrial-group.com.ar
ACC00164,Aconcagua Logística Corp.,Minería,Mining,Jujuy,Argentina,2727,1.4,0.207,0.72,partner_referral,A,https://austral-servicios-argentina.com.ar
ACC00165,Austral Operaciones Servicios,Manufactura,Manufacturing,Buenos Aires,Argentina,415,1.19,0.185,0.61,website_form,C,https://norte-minera-argentina.com.ar
ACC00166,Aconcagua Solutions S.R.L.,Construcción,Construction,Mendoza,Argentina,564,1.0,0.241,0.52,website_form,A,https://aconcagua-tecnología-s-a.com.ar
ACC00167,Cumbre Industrial Corp.,Minería,Mining,Catamarca,Argentina,513,1.19,0.086,0.72,partner_referral,B,https://pampa-industrial-s-r-l.com.ar
ACC00168,Cumbre Logística Servicios,Energía,Utilities,Santa Fe,Argentina,1039,1.08,0.278,0.68,public_directory,B,https://norte-infraestructura-s-a.com.ar
ACC00169,Aconcagua Oil Corp.,Energía,Energy,Neuquén,Argentina,797,1.34,0.289,0.68,partner_referral,C,https://sur-operaciones-corp.com.ar
