service_id,date,account_id,company_name,province,service_family,service_item,ticket_type,sla_hours,resolved,parts_used,labor_hours,revenue_usd
SRV_ACC00013_02,2026-03-06,ACC00013,Norte Oil Servicios,Santa Fe,Servicio técnico,Mantenimiento correctivo,corrective,8,1,2,0.5,11309.08
SRV_ACC00013_03,2026-01-14,ACC00013,Norte Oil Servicios,Santa Fe,Auditoria de Aire Sullair,Auditoría industrial,audit,4,1,5,7.76,1408.95
SRV_ACC00014_01,2026-01-14,ACC00014,Pampa Solutions S.A.,Mendoza,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,12,1,2,1.35,36778.31
SRV_ACC00015_01,2025-11-12,ACC00015,Patagonia Oil S.R.L.,Neuquén,Servicio técnico,Mantenimiento correctivo,audit,48,1,0,2.1,19187.56
SRV_ACC00015_02,2024-11-28,ACC00015,Patagonia Oil S.R.L.,Neuquén,Auditoria de Aire Sullair,Auditoría industrial,audit,8,0,3,9.22,9391.63
SRV_ACC00016_01,2025-01-18,ACC00016,Pampa Energía S.A.,San Juan,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,4,1,2,4.83,4344.24
SRV_ACC00016_02,2026-01-24,ACC00016,Pampa Energía S.A.,San Juan,Cursos de capacitación,Capacitación técnica,corrective,12,1,2,5.57,1668.32
SRV_ACC00016_03,2025-07-16,ACC00016,Pampa Energía S.A.,San Juan,Servicio técnico,Mantenimiento correctivo,preventive,48,1,1,5.82,14781.11
SRV_ACC00016_04,2025-09-21,ACC00016,Pampa Energía S.A.,San Juan,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,8,1,0,3.78,48529.18
SRV_ACC00017_01,2024-09-10,ACC00017,Pampa Solutions Servicios,Buenos Aires,Auditoria de Aire Sullair,Auditoría industrial,preventive,48,1,3,2.59,3117.46
SRV_ACC00018_01,2025-10-08,ACC00018,Patagonia Solutions S.R.L.,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,24,1,3,3.81,48972.52
SRV_ACC00019_01,2025-10-10,ACC00019,Norte Operaciones Argentina,Córdoba,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,24,1,5,3.94,27911.98
SRV_ACC00019_02,2025-06-08,ACC00019,Norte Operaciones Argentina,Córdoba,Auditoria de Aire Sullair,Auditoría industrial,corrective,48,1,4,4.15,9273.39
SRV_ACC00019_03,2025-10-20,ACC00019,Norte Operaciones Argentina,Córdoba,Auditoria de Aire Sullair,Auditoría industrial,preventive,8,1,3,2.01,11859.57
SRV_ACC00019_04,2024-09-18,ACC00019,Norte Operaciones Argentina,Córdoba,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,12,0,2,5.36,43796.27
SRV_ACC00020_01,2024-10-29,ACC00020,Litoral Oil Servicios,Catamarca,Auditoria de Aire Sullair,Auditoría industrial,training,48,1,3,1.94,855.94
SRV_ACC00020_02,2026-01-04,ACC00020,Litoral Oil Servicios,Catamarca,Sistema de mantenimiento planificado,Contrato de mantenimiento,training,4,1,0,1.26,23618.71
SRV_ACC00020_03,2025-02-07,ACC00020,Litoral Oil Servicios,Catamarca,Auditoria de Aire Sullair,Auditoría industrial,preventive,48,1,1,1.42,3119.67
SRV_ACC00020_04,2026-02-15,ACC00020,Litoral Oil Servicios,Catamarca,Auditoria de Aire Sullair,Auditoría industrial,corrective,24,1,0,3.72,10933.92
SRV_ACC00020_05,2024-10-08,ACC00020,Litoral Oil Servicios,Catamarca,Auditoria de Aire Sullair,Auditoría industrial,preventive,12,1,4,5.0,6493.42
SRV_ACC00021_01,2025-06-29,ACC00021,Cumbre Tecnología S.A.,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,12,1,2,3.66,47742.08
SRV_ACC00021_02,2026-03-18,ACC00021,Cumbre Tecnología S.A.,CABA,Servicio técnico,Mantenimiento correctivo,corrective,48,1,1,6.64,5722.92
SRV_ACC00021_03,2024-09-23,ACC00021,Cumbre Tecnología S.A.,CABA,Cursos de capacitación,Capacitación técnica,preventive,12,1,1,1.03,3944.6
SRV_ACC00022_01,2025-07-20,ACC00022,Aconcagua Servicios Argentina,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,8,1,2,0.74,36560.61
SRV_ACC00022_02,2025-05-22,ACC00022,Aconcagua Servicios Argentina,CABA,Auditoria de Aire Sullair,Auditoría industrial,corrective,48,0,1,1.21,5828.76
SRV_ACC00022_03,2025-05-25,ACC00022,Aconcagua Servicios Argentina,CABA,Servicio técnico,Mantenimiento correctivo,training,4,1,1,4.38,2606.24
SRV_ACC00023_01,2025-11-29,ACC00023,Norte Servicios Group,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,training,48,1,1,1.21,7928.29
SRV_ACC00023_02,2024-07-16,ACC00023,Norte Servicios Group,Santa Cruz,Cursos de capacitación,Capacitación técnica,preventive,12,1,3,0.99,4828.09
SRV_ACC00024_01,2024-11-12,ACC00024,Austral Infraestructura Argentina,CABA,Cursos de capacitación,Capacitación técnica,preventive,4,0,1,4.39,2757.07
SRV_ACC00024_02,2025-06-17,ACC00024,Austral Infraestructura Argentina,CABA,Auditoria de Aire Sullair,Auditoría industrial,preventive,12,1,1,3.11,907.3
SRV_ACC00024_03,2025-10-13,ACC00024,Austral Infraestructura Argentina,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,48,1,2,4.59,9736.22
SRV_ACC00025_01,2025-12-03,ACC00025,Pampa Infraestructura Servicios,Jujuy,Servicio técnico,Mantenimiento correctivo,preventive,8,1,2,12.44,9874.1
SRV_ACC00025_02,2024-08-08,ACC00025,Pampa Infraestructura Servicios,Jujuy,Servicio técnico,Mantenimiento correctivo,corrective,24,1,2,7.96,18393.13
SRV_ACC00025_03,2025-03-19,ACC00025,Pampa Infraestructura Servicios,Jujuy,Cursos de capacitación,Capacitación técnica,training,4,1,1,1.46,4494.23
SRV_ACC00025_04,2024-04-28,ACC00025,Pampa Infraestructura Servicios,Jujuy,Servicio técnico,Mantenimiento correctivo,preventive,4,1,2,2.45,14172.82
SRV_ACC00025_05,2025-02-04,ACC00025,Pampa Infraestructura Servicios,Jujuy,Auditoria de Aire Sullair,Auditoría industrial,training,8,1,2,0.5,10967.09
SRV_ACC00026_01,2025-09-27,ACC00026,Delta Minera Servicios,Santa Cruz,Servicio técnico,Mantenimiento correctivo,training,4,1,2,0.89,16537.43
SRV_ACC00026_02,2025-01-30,ACC00026,Delta Minera Servicios,Santa Cruz,Cursos de capacitación,Capacitación técnica,audit,8,1,3,12.08,4516.06
SRV_ACC00027_01,2026-02-16,ACC00027,Norte Logística S.A.,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,training,8,1,3,2.16,7271.89
SRV_ACC00028_01,2025-05-19,ACC00028,Delta Operaciones S.A.,CABA,Cursos de capacitación,Capacitación técnica,audit,8,1,0,10.38,1925.63
SRV_ACC00028_02,2025-02-12,ACC00028,Delta Operaciones S.A.,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,4,1,5,8.0,15967.94
SRV_ACC00028_03,2025-04-02,ACC00028,Delta Operaciones S.A.,CABA,Servicio técnico,Mantenimiento correctivo,corrective,24,1,3,4.38,16023.32
SRV_ACC00028_04,2025-04-22,ACC00028,Delta Operaciones S.A.,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,training,4,1,0,4.72,16407.02
SRV_ACC00029_01,2024-08-10,ACC00029,Andes Minera S.R.L.,Buenos Aires,Servicio técnico,Mantenimiento correctivo,training,12,0,2,1.15,2115.61
SRV_ACC00029_02,2025-01-07,ACC00029,Andes Minera S.R.L.,Buenos Aires,Cursos de capacitación,Capacitación técnica,preventive,12,1,4,2.63,1340.39
SRV_ACC00029_03,2025-11-29,ACC00029,Andes Minera S.R.L.,Buenos Aires,Servicio técnico,Mantenimiento correctivo,corrective,48,1,0,5.54,13263.25
SRV_ACC00030_01,2026-03-26,ACC00030,Norte Energía Group,Mendoza,Cursos de capacitación,Capacitación técnica,corrective,48,1,0,0.73,4442.29
SRV_ACC00031_01,2025-01-10,ACC00031,Patagonia Tecnología Corp.,Chubut,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,12,1,3,5.7,28502.57
SRV_ACC00031_02,2025-05-24,ACC00031,Patagonia Tecnología Corp.,Chubut,Servicio técnico,Mantenimiento correctivo,corrective,24,1,5,13.46,13465.53
SRV_ACC00032_01,2025-11-17,ACC00032,Andes Oil Servicios,Neuquén,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,24,1,1,2.25,1769.7
SRV_ACC00032_02,2024-07-05,ACC00032,Andes Oil Servicios,Neuquén,Servicio técnico,Mantenimiento correctivo,corrective,24,1,1,4.02,11855.1
SRV_ACC00032_03,2025-05-20,ACC00032,Andes Oil Servicios,Neuquén,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,24,1,4,1.98,30020.45
SRV_ACC00033_01,2024-12-06,ACC00033,Aconcagua Infraestructura Servicios,San Juan,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,8,1,3,18.32,1287.87
SRV_ACC00033_02,2024-05-22,ACC00033,Aconcagua Infraestructura Servicios,San Juan,Auditoria de Aire Sullair,Auditoría industrial,preventive,48,1,2,3.56,1008.91
SRV_ACC00033_03,2025-12-22,ACC00033,Aconcagua Infraestructura Servicios,San Juan,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,8,1,3,3.58,39578.21
SRV_ACC00033_04,2025-09-05,ACC00033,Aconcagua Infraestructura Servicios,San Juan,Cursos de capacitación,Capacitación técnica,preventive,4,1,2,8.01,4673.41
SRV_ACC00033_05,2024-07-10,ACC00033,Aconcagua Infraestructura Servicios,San Juan,Servicio técnico,Mantenimiento correctivo,audit,4,1,3,1.5,346.67
SRV_ACC00034_01,2025-02-27,ACC00034,Norte Infraestructura S.R.L.,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,corrective,8,1,6,0.85,10474.73
SRV_ACC00034_02,2025-12-08,ACC00034,Norte Infraestructura S.R.L.,Santa Cruz,Servicio técnico,Mantenimiento correctivo,audit,8,1,0,0.93,6412.9
SRV_ACC00034_03,2024-12-07,ACC00034,Norte Infraestructura S.R.L.,Santa Cruz,Cursos de capacitación,Capacitación técnica,preventive,8,1,2,2.13,4984.59
SRV_ACC00034_04,2024-12-15,ACC00034,Norte Infraestructura S.R.L.,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,preventive,24,1,2,2.59,8701.86
SRV_ACC00034_05,2024-07-26,ACC00034,Norte Infraestructura S.R.L.,Santa Cruz,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,24,1,2,2.21,21109.63
SRV_ACC00035_01,2024-09-12,ACC00035,Norte Oil Argentina,Córdoba,Servicio técnico,Mantenimiento correctivo,corrective,8,1,3,2.88,12538.63
SRV_ACC00035_02,2024-12-22,ACC00035,Norte Oil Argentina,Córdoba,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,8,1,3,1.4,13768.98
SRV_ACC00035_03,2024-10-10,ACC00035,Norte Oil Argentina,Córdoba,Auditoria de Aire Sullair,Auditoría industrial,corrective,8,1,2,5.32,5396.12
SRV_ACC00035_04,2025-06-08,ACC00035,Norte Oil Argentina,Córdoba,Cursos de capacitación,Capacitación técnica,preventive,12,1,1,9.12,2204.94
SRV_ACC00035_05,2026-01-04,ACC00035,Norte Oil Argentina,Córdoba,Servicio técnico,Mantenimiento correctivo,preventive,8,1,1,1.46,12686.63
SRV_ACC00036_01,2026-01-21,ACC00036,Cumbre Energía Corp.,Santa Cruz,Cursos de capacitación,Capacitación técnica,corrective,12,1,0,1.16,4997.08
SRV_ACC00036_02,2026-01-23,ACC00036,Cumbre Energía Corp.,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,preventive,24,1,3,2.49,8362.88
SRV_ACC00037_01,2024-08-15,ACC00037,Pampa Servicios Argentina,Buenos Aires,Servicio técnico,Mantenimiento correctivo,corrective,4,1,3,0.6,300.29
SRV_ACC00037_02,2025-02-21,ACC00037,Pampa Servicios Argentina,Buenos Aires,Sistema de mantenimiento planificado,Contrato de mantenimiento,training,24,1,0,4.22,40151.43
SRV_ACC00037_03,2024-07-18,ACC00037,Pampa Servicios Argentina,Buenos Aires,Servicio técnico,Mantenimiento correctivo,training,24,1,3,4.04,3310.59
SRV_ACC00037_04,2024-11-15,ACC00037,Pampa Servicios Argentina,Buenos Aires,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,12,1,1,2.67,19079.76
SRV_ACC00037_05,2025-10-09,ACC00037,Pampa Servicios Argentina,Buenos Aires,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,8,1,2,4.16,31170.84
SRV_ACC00038_01,2025-02-17,ACC00038,Aconcagua Oil Corp.,Mendoza,Auditoria de Aire Sullair,Auditoría industrial,corrective,4,0,3,1.02,2879.94
SRV_ACC00038_02,2025-11-09,ACC00038,Aconcagua Oil Corp.,Mendoza,Auditoria de Aire Sullair,Auditoría industrial,training,8,0,0,5.96,3865.73
SRV_ACC00038_03,2025-04-26,ACC00038,Aconcagua Oil Corp.,Mendoza,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,12,1,4,6.46,37416.1
SRV_ACC00038_04,2025-06-16,ACC00038,Aconcagua Oil Corp.,Mendoza,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,24,1,6,2.07,1939.12
SRV_ACC00038_05,2024-12-01,ACC00038,Aconcagua Oil Corp.,Mendoza,Auditoria de Aire Sullair,Auditoría industrial,preventive,48,0,6,7.99,9966.75
SRV_ACC00039_01,2024-05-31,ACC00039,Patagonia Infraestructura S.R.L.,Córdoba,Auditoria de Aire Sullair,Auditoría industrial,preventive,4,1,1,1.6,11724.63
SRV_ACC00039_02,2025-09-04,ACC00039,Patagonia Infraestructura S.R.L.,Córdoba,Cursos de capacitación,Capacitación técnica,audit,48,1,0,3.9,2327.75
SRV_ACC00039_03,2024-11-28,ACC00039,Patagonia Infraestructura S.R.L.,Córdoba,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,48,1,0,11.98,15866.28
SRV_ACC00040_01,2025-03-15,ACC00040,Aconcagua Operaciones Group,Santa Cruz,Cursos de capacitación,Capacitación técnica,preventive,48,1,3,1.74,1696.53
SRV_ACC00040_02,2025-10-11,ACC00040,Aconcagua Operaciones Group,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,training,4,1,1,1.06,10923.7
SRV_ACC00040_03,2024-08-15,ACC00040,Aconcagua Operaciones Group,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,corrective,24,1,1,5.09,9918.84
SRV_ACC00040_04,2026-01-09,ACC00040,Aconcagua Operaciones Group,Santa Cruz,Servicio técnico,Mantenimiento correctivo,corrective,8,1,3,3.54,19559.96
SRV_ACC00041_01,2025-11-24,ACC00041,Norte Operaciones Corp.,Catamarca,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,48,1,3,4.22,8179.85
SRV_ACC00041_02,2024-09-28,ACC00041,Norte Operaciones Corp.,Catamarca,Auditoria de Aire Sullair,Auditoría industrial,corrective,12,0,3,2.5,4937.98
SRV_ACC00041_03,2026-03-15,ACC00041,Norte Operaciones Corp.,Catamarca,Cursos de capacitación,Capacitación técnica,audit,24,1,3,4.71,3805.26
SRV_ACC00042_01,2025-10-22,ACC00042,Cumbre Oil S.A.,Buenos Aires,Cursos de capacitación,Capacitación técnica,corrective,48,1,3,2.71,1697.9
SRV_ACC00042_02,2024-07-05,ACC00042,Cumbre Oil S.A.,Buenos Aires,Cursos de capacitación,Capacitación técnica,audit,48,1,1,3.01,1555.9
SRV_ACC00042_03,2025-01-05,ACC00042,Cumbre Oil S.A.,Buenos Aires,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,48,1,1,5.85,32598.57
SRV_ACC00043_01,2025-06-15,ACC00043,Pampa Minera Group,Buenos Aires,Servicio técnico,Mantenimiento correctivo,training,8,1,1,3.37,15370.66
SRV_ACC00043_02,2024-07-11,ACC00043,Pampa Minera Group,Buenos Aires,Auditoria de Aire Sullair,Auditoría industrial,corrective,12,0,4,6.19,7441.72
SRV_ACC00044_01,2024-11-13,ACC00044,Pampa Energía Argentina,Buenos Aires,Servicio técnico,Mantenimiento correctivo,preventive,12,1,1,2.93,17911.26
SRV_ACC00044_02,2025-06-18,ACC00044,Pampa Energía Argentina,Buenos Aires,Cursos de capacitación,Capacitación técnica,corrective,48,1,3,1.26,3807.62
SRV_ACC00044_03,2025-07-23,ACC00044,Pampa Energía Argentina,Buenos Aires,Servicio técnico,Mantenimiento correctivo,audit,24,1,2,5.32,19074.37
SRV_ACC00045_01,2024-06-04,ACC00045,Pampa Minera Argentina,Neuquén,Cursos de capacitación,Capacitación técnica,audit,24,1,2,1.14,3035.39
SRV_ACC00045_02,2025-05-30,ACC00045,Pampa Minera Argentina,Neuquén,Cursos de capacitación,Capacitación técnica,preventive,8,1,2,3.16,2624.94
SRV_ACC00046_01,2024-11-28,ACC00046,Cumbre Operaciones Corp.,Neuquén,Cursos de capacitación,Capacitación técnica,corrective,12,1,5,8.03,4519.32
SRV_ACC00046_02,2025-04-23,ACC00046,Cumbre Operaciones Corp.,Neuquén,Cursos de capacitación,Capacitación técnica,corrective,24,1,3,4.35,2416.56
SRV_ACC00046_03,2025-08-03,ACC00046,Cumbre Operaciones Corp.,Neuquén,Auditoria de Aire Sullair,Auditoría industrial,preventive,8,1,1,0.75,10114.39
SRV_ACC00046_04,2024-04-20,ACC00046,Cumbre Operaciones Corp.,Neuquén,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,8,1,1,8.84,13633.59
SRV_ACC00046_05,2024-08-01,ACC00046,Cumbre Operaciones Corp.,Neuquén,Servicio técnico,Mantenimiento correctivo,training,48,1,2,4.37,1298.42
SRV_ACC00047_01,2025-05-28,ACC00047,Sur Oil Corp.,Santa Fe,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,8,1,1,3.37,23270.66
SRV_ACC00048_01,2025-06-20,ACC00048,Delta Operaciones S.R.L.,Santa Fe,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,4,1,1,3.78,31592.22
SRV_ACC00048_02,2024-06-12,ACC00048,Delta Operaciones S.R.L.,Santa Fe,Sistema de mantenimiento planificado,Contrato de mantenimiento,training,24,1,3,2.34,9036.96
SRV_ACC00048_03,2024-08-17,ACC00048,Delta Operaciones S.R.L.,Santa Fe,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,24,1,2,2.96,41807.78
SRV_ACC00048_04,2026-02-03,ACC00048,Delta Operaciones S.R.L.,Santa Fe,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,24,1,4,4.81,6408.46
SRV_ACC00048_05,2025-02-10,ACC00048,Delta Operaciones S.R.L.,Santa Fe,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,48,1,4,15.76,10355.88
SRV_ACC00049_01,2025-10-26,ACC00049,Litoral Solutions Corp.,Buenos Aires,Servicio técnico,Mantenimiento correctivo,audit,12,0,0,5.09,12777.32
SRV_ACC00050_01,2024-09-02,ACC00050,Norte Oil S.A.,Santa Cruz,Servicio técnico,Mantenimiento correctivo,audit,48,1,3,4.96,14641.73
SRV_ACC00050_02,2024-10-08,ACC00050,Norte Oil S.A.,Santa Cruz,Servicio técnico,Mantenimiento correctivo,corrective,24,1,1,6.0,6185.44
SRV_ACC00051_01,2025-05-19,ACC00051,Patagonia Infraestructura S.R.L.,Mendoza,Auditoria de Aire Sullair,Auditoría industrial,corrective,4,1,0,8.92,2701.04
SRV_ACC00051_02,2025-08-27,ACC00051,Patagonia Infraestructura S.R.L.,Mendoza,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,12,1,0,2.55,42625.78
SRV_ACC00051_03,2025-07-25,ACC00051,Patagonia Infraestructura S.R.L.,Mendoza,Auditoria de Aire Sullair,Auditoría industrial,preventive,4,1,1,0.81,4540.34
SRV_ACC00051_04,2024-12-21,ACC00051,Patagonia Infraestructura S.R.L.,Mendoza,Cursos de capacitación,Capacitación técnica,corrective,24,1,6,1.04,1545.13
SRV_ACC00051_05,2025-06-05,ACC00051,Patagonia Infraestructura S.R.L.,Mendoza,Cursos de capacitación,Capacitación técnica,audit,24,0,0,8.27,4673.62
SRV_ACC00052_01,2024-06-25,ACC00052,Sur Minera Group,Neuquén,Servicio técnico,Mantenimiento correctivo,corrective,8,1,2,3.32,12478.62
SRV_ACC00052_02,2025-08-09,ACC00052,Sur Minera Group,Neuquén,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,12,1,2,0.93,39160.18
SRV_ACC00053_01,2025-10-09,ACC00053,Cumbre Oil Servicios,Buenos Aires,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,48,1,1,3.2,16242.73
SRV_ACC00054_01,2025-01-02,ACC00054,Andes Industrial Servicios,CABA,Cursos de capacitación,Capacitación técnica,preventive,12,1,2,5.08,1920.72
SRV_ACC00054_02,2024-10-31,ACC00054,Andes Industrial Servicios,CABA,Servicio técnico,Mantenimiento correctivo,corrective,24,0,2,4.69,7511.28
SRV_ACC00054_03,2025-01-09,ACC00054,Andes Industrial Servicios,CABA,Servicio técnico,Mantenimiento correctivo,audit,48,1,1,3.5,14319.37
SRV_ACC00054_04,2025-08-05,ACC00054,Andes Industrial Servicios,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,training,48,1,1,8.66,6251.19
SRV_ACC00054_05,2024-05-08,ACC00054,Andes Industrial Servicios,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,audit,48,0,5,4.8,36327.75
SRV_ACC00055_01,2024-10-12,ACC00055,Delta Industrial Group,Mendoza,Auditoria de Aire Sullair,Auditoría industrial,corrective,12,1,2,1.98,3193.5
SRV_ACC00055_02,2025-01-05,ACC00055,Delta Industrial Group,Mendoza,Sistema de mantenimiento planificado,Contrato de mantenimiento,corrective,24,1,4,0.5,49264.22
SRV_ACC00056_01,2025-02-02,ACC00056,Pampa Energía Servicios,Córdoba,Cursos de capacitación,Capacitación técnica,preventive,4,1,0,1.07,3772.51
